Lemens J. van	Veuve Lemens
אבני אהרון	Aharon Avni
אדני אהרון	Adani Aharon
Berg Asaf	ברג אסף
Carlos the Martyr	Bragança Carlos de
Vadesqidab	Ron Hilbert Coy
Igadim	Wendker Wolfgang
A. Carnegie	卡内基安德鲁
Jia Yongzhi	Aili Jia
한정식	Chŏng-sik Han
Abelardo Pedro	אבעלאר
Grondel	De Wit Gaspar
Cockerell Christabel A.	Lady Frampton
להב ורד	Lahav Vered
中村 真	真三郎
L. Kratké	Kratke Charles
Dolphin Group	Atelier Iruka
MacArthur Miss Molly	Anderson Florence
חורש שושי	Horesh Shoshi
Schwabe Kurt	Conrad Pflüger
il Chiaveghino	Andrea Mainardi
סוייר איזק	Isaac Soyer
丸尾 彰三郎	Maruo Shozaburo
Ὁ Πυθαγόρας ὁ Σάμιος	Pitágoras
Matorin Rivka	מטורין רבקה
Hoyeck Youssef	Ḥuwayyik Yūsuf
בונה שמואל	Bone Shmuel
אליעז אורי	Uri Eliaz
אשבאכר הנס	Hans Aeschbacher
Olivetti e c. s. p. a.	Société Olivetti
هويزنجا، يوهان،	Huzinḥah Yohan
Kheĭzinga Ĭ.	هويزنجا، يوهان،
הימן חנה	Heyman Hanna
דוסק אדוארד אדריאן	Dussek Eduard Adrian
eduard adrian dussek	דוסק אדוארד אדריאן
חזק אברהם	Abraham Hasak
קסטלנובו רינה	Castelnuovo Rina
סגלי אברי	Segali Avri
Standish Mrs.	Lily Blatherwick
פרלשטיין פיליפ	Pearlstein Philip
Milshtein Zvi	מילשטיין צבי
Williams Thomas	w.r. timken
南 政善	Minami Masayoshi
מלר + ג'ון פ'	John P.
Ruth Levita	לויטה רות
קריין ברברה	Bachman Barbara Dell
Gary Goldstein	גולדשטיין גרי
גלי יהונתן	Gali Jonathan
Gagakusai	Bunchō
Filotesio Niccolo di	Matrice Cola dalla
חדי שלמה	Hadi Shlomo
שפירא דפנה	Daphna Shapira
Hanitsu Sakai	Noriichi
Eléonore Lingée	Lefebvre Thérèse-Eléanor
מאיר אבי	Mayer Avi
אשנר מוריס	Achener Maurice Victor
ארז דוד	Erez David
גנג רון	Ron Gang
ברסלאו פול	Paul Braslow
Πτολεμαῖος Σωτήρ	Ptolemaios I Soter King of Egypt
Mu Xin	孙牧心
孙仰中	Mu Xin
מרקייביץ' קזימיר דונין	Markiewicz
Mathys Terwesten	Aquila
野田 英夫	Hideo Noda
Tantte	ДАНТЕ АЛИГИЕРИ
שילה חיה	Chaya Shilo
Centre Beaubourg	C.N.A.C.
Bak Ilan	בק אילן
צוריה ענת	Anat Zuria
Armando	Dodeweerd H. D. van
Bartolo Nanni di	Rosso Il
וולך נעמי	Wallach Naomi
קופלי וויליאם	C.P.L.Y.
Cultureel Centrum	Lesser Antilles
Shunshunsai	Kwansho
Hokuba	Kwansho
P. Van Mol Disciple de Rubens	Pietro Mola
בצלאלי שוחט תמי	Tami Bezaleli Shohet
Prasch	Brouse
Bartolomeo Vanzetti	וואנזעטי בארטאלאמעי
Barnicle Bernie	Stephen Mathewson
J. Heda	heda gerrit willem
Gosallves J.	José Gosálvez de Coniedo
hao Xiaolou	Ren Yi
Charles Raggio Greco	גרקו צ'רלס ר'
Nishimura Ryusuke	西村 龍介／竜介
Sara Konforti	קונפורטי שרה
Josef Sudek	סודק יוסף
Flieg Helmut	Haym St̋ifan
Hay'at al-Āthār al-Miṣrīyah	Egyptian Antiquities Organization
吉原 治良	Yoshihara Yiro
Shulamit Tal	טל שולמית
Association of Black Photographers	Autograph (Organization)
Sanz Juan	Juan de Torrecilla
Nitt︠s︡she Fridrikh	ניעטצשע פרידריך וילהלם
Tooker George	טוקר ג'ורג'
קרגליירו מנואל	Cargaleiro Manuel
Cargaleiro Manuel Alves	קרגליירו מנואל
久保田 金僊	吉太郎
Romain	Jean-Baptiste Harou
Liss Tzila	ליס צילה
晝間 弘	Hiruma Hiroshi
Masayoshi	Kishō Tengō
Rozet Meisler	מייזלר רוזט
Lasseron et associés	Olivier Lasseron (Firm)
יורצברג אולה	Hjortzberg Olle
Helholz Menachem	הלהולץ מנחם
Malbarba	Di Bindoccio Cristoforo
Kyongu	Kang Hŭi-an
נורי סוזן	Norrie Susan
Wu Shih-mang	Huangyongyu
Leroux	לארו ז'ול-מארי אוגוסט
Littauer-Hahn Käthe	Kaethe Berl
שמר יפה	Shemer Yaffa
池部 鈞	Hitoshi Ikebe
Shinkuro	Furuyama Muromasa
Castello Giacomo da	Kerckhoven Jacob Van De
M. Gérard élève de M. Bertin	Louis Auguste Gerard
弦屋光渓	Tsuruya Kōkei
Sata Katsu	佐田 勝
Hailstone Vivien Risling	Cutcha
Nadar Jeune	Adrien Alban Tournachon
Macrino D'Alba	Alladio Giangiacomo de
Miyagawa Shunshō	Kirin
Ririn	Miyagawa Shunshō
我妻 碧宇	榮之助
Hekiu Azuma	榮之助
רגב אתי	Etti Regev
Fidus	Höppener Hugo
Naondo Nakamura	中村 直人
Ludwig XIV King of France	Le Roi Soleil
שטרן לב	Lev Stern
אלרואי ניבי	Alroyi Nivi
זולה אמיל	ЗОЛЯ ЭМИЛЬ
Zuo La	זולה אמיל
אורן גלילה	Oren Galila
Folsom Mrs.	Elizabeth A. Folsom
丹下 健三	Tange Kenzo
Elizabeth Queen consort of George VI	Bowes-Lyon Elizabeth Lady
B: V: S:	Monogrammiert B. v. S.
藤井 浩佑	Koichi Fujii
Fujii Kôyû	藤井 浩佑
ליבס מירה	Leibowitz Miriam
Elbe Lily	Einar Mogens Andreas Wegener
Cody Choi	Chʻoe Hyŏn-ju
פיטשון אבי	Avi Pitchon
Rios Hector	Hex
דאגלס סטן	Stan Douglas
Brown Henry Kirke Mrs.	Margaret Lesley Bush-Brown
Monogrammist JJB	J.J.B.
Puachri Ashraf	פואחרי אשרף
Miri Sivan	סיון מירי
Genthe Dr. Arnold	גנת ארנולד
Banfi Belgiojoso Peressuti Rogers	BBPR Architectural Studio
菅沼 金六	Kinroku Suganuma
וקסלר מנחם רון	Menachem Ron Wexler
Kaburaki Kiyokata	鏑木 清方
春山 武松	Takematsu Haruyama
吉田 政次	Yoshida Masaji
権藤 種男	Taneo Gondo
Dalia Asolin	אסולין דליה
Penny Wagner	וגנר פני
Khufu	Cheops King of Egypt
ואנטונגרלו ז'ורז'	Van Tongerloo Georges
G. G.	Scott  Son & Partners
大矢 峻嶺	Oya Shunrei
Orlandin	Del Purgo
Giulio Orlandini	Del Purgo
Linton Violet	Cheater T.J. (Mrs.)
Shlomo Itzkovitch	איצקוביץ שלמה
猪飼 嘯谷	Ukichi
Claude Vignon (pseudonym)	Rouvier Noémie
Cadiot Noémie	Claude Vignon (pseudonym)
Qunyou	Xie Dashen
Permoser Baltzar	Baldassare Fiammingo
Nukina Kaioku	Shūseido
שניידר גיטה	Schneider Gita
קוגוף ארנסט	Coghuf Ernst
Pseudo-Grunewald	Simon von Aschaffenburg
Gazit Mordecai	גזית מרדכי
Kreniß Matthäus	Meister der Altöttinger Türen
清太郎	Makino Shiro
Pyrgoteles	Lascaris Giovanni Giorgio
M. Garand	Garand Jean Baptiste
Naqavoy'ma	Fred Kabotie
Day After Day	Fred Kabotie
Claire Adler	אדלר קליר
Johannes Georg Jacobus van Arum	Photografische Inrichting
Documentación y Conservación del Moviemento Moderno	DO.CO.MO.MO.
Tour Solidor	Musée de Cap-Horniers
Zoan Andrea di Manova	Il Guadagnino
Girolamo Bassamo	Signor Geronimo
Jack Bilbo	Hugo Baruch
Käp'n Bilbo	Hugo Baruch
Rosenberg Ben	בען
Kōrin	Tadamichi
Abraham Walkowitz	וואלקאוויטש א.
וואלקאוויטש אברהם	Abraham Walkowitz
וולף קרקואר גרטה	Grete Wolf Krakauer
ארד רועי	Arad Roy
לאו ג'וף	Lowe Geoff
Mourgue Pascal	מורג פסקל
Morris R.A.	Richard Allen Morris
אדלר סיליה	Adler Celia
Kōhachirō	Kusumoto Sekkei
Seidel P.P.H.	Delanjo Marcus
No+12	Nomasdoce arquitectos
Tozan	伊東 陶山〔3代目〕
上海普陀區文化局	Shanghai Putuo Qu wen hua ju
菅 楯彦	Tatehiko Suga
Petersen Edvard Frederik	פטרסון אדוורד פרדריק
Horseman Group	Groupe du Cavalier
ויסהוז חיה	Haya Weisshaus
זרמי יחיאל	Zarmi Yechiel
בסון נעים	Naim Basson
Nairn George (Mrs.)	Campbell Cecilia
Cornelis Wouter Bouter	Hendriks C.
Verschuur C.	Cornelis Wouter Bouter
Navellier & L. Marie	נווייה + ל' מארי
Ala napoleonica	Venice (Italy). Museo civico Correr
Toscani Giovanni Di Francesco	Master of the Griggs Cruxifiction
leon brunin	Meuter Léon de
Mörs Jakob the elder	Mores Monogrammist I. M.
Hans van Dijk	Err Henri (ps.)
William Henry Jackson & Co.	W. H. Jackson Phot. and Pub. Co.
בויסן קיי	Kay Bojesen
So-ky	László Sós
毛利 武彦	Mori Takehiko
Klemens VII. Papst	Medici Giulio de’
Honeysuckle C.	Brown Hattie
Goldman Paul	גולדמן פאול
un P.re Capucino	Fra Semplice da Verona
Pesne Mme J.-B. Joyard	Henriette Pesne
לוגסי פרלה	Perla Lugassy
Cassiodoro	Flavius Magnus
Choisy le Conin	Bayros Franz de
Charles Wickert	Виккерт Кароль
מורו משה	Murro Moshe
Jacques Rigaud	Rigaud neuveu du précédent
Salz Sam	19th & 20th Century French Art Inc
Schmisek Johann	Swischegg
פרי מיכה	Perry Micha
פרלמן יפה	Perlman Yaffa
לוי אילן	Ilan Levi
שאן לי	Li Shan
Chance Mrs. W.	Strachey Julia Charlotte
Elizabeth Craven Baroness Craven	Brandenburgh House
Ḥizḳiyahu	יחזקיהו
גוטליב רוזיטה	Gottlieb Rosita
Johannes Antoni Augustinus Plucks	Pluckx
浜口 陽三	Yozō Hamaguchi
סלואן לויס	Sloane Luis
Maeda Kensetsu Kōgyō Kabushiki Kaisha	Maeda Corporation
Ant Jan van (unidentified)	J.v. Ant
Daniel Fuss	פוס דניאל
A. Kalraad	Calraat Abraham Pietersz. van
Orchan Yitzhak	אורחן יצחק
גראנל אוג'יניו פרננדז	Granell Eugenio Fernández
佐々木 素雲	Soun
הוזאר וילמוס	Vilmos Huszár
Huszar	הוזאר וילמוס
Holting Gustave	Winckelmann
כהן דפנה	Cohen Dafna
אלוני שרגא	Aloni Shraga
ספאנו מיכאל	Spano Michael
Anne Pierce	Pierce Mrs. W.
Beaumont Anne	Pierce Mrs. W.
K. Tonny	טוני קריסטיאנס
Galerije Grada Zagreba	Municipal Art Gallery
Seino Tsune	清野 恒
לאובר מרסלו	Lauber Marcelo
G. Fleinck	Cowaert Flinch eleve de Rimbrand
בראל ענת	Anat Barel
מירוז חיים	Meiroz Chaim
Monogrammist SF	S.F.
S. F.	Monogrammist SF
Амалия фон Сакс-Кобург-Гота	Amalie Princess of Sachsen-Koburg-Gotha
Sachsen-Koburg-Gotha Amalia von	Амалия фон Сакс-Кобург-Гота
Schiavone Michelangelo	Chiozzotto
Topino Mary Dick	Mrs. Britches
Shenbo	Pao Shih-ch'en
היל כריסטין	Christine Hill
Tommaso di Giovanni Cassai	Mazzacio
Arnold von Westphalen	Bestürling
וינטראוב מיכאלה	Weintraub Michaella
Tahaygen	Edensaw Charles
צור מיכה	Micha Zur
Francis of Sales Saint	Bishop of Geneva
長谷川 朝風	Shin'ichi
היפוקראטס	Hippokrátēs
Takahashi Kaishu	高橋 介州
Isamu	高橋 介州
植田 壽蔵	Ueda Juzo
Pier Antonio Palmerini	Crocchia Girolamo
Merimée	Jean-François-Léonor
Nai Maki	芳之助
שחר חנה	Schahar Hanna
בוצמן דבורה	Bochman Dvora
荒井良二	Ryôji Arai
McClean Mrs. Douglas	Hale Kathleen
ובר ברוס	Weber Bruce
Wiegand	Wgd.
A. Neranus	Neer Abraham van der
Kakutei	Gojan
Dōjin	Kakutei
fratello del Sig. Cav.re Maratti	Bernabeo Francioni
Щукин Пётр Иванович	Sjtsjoekin Pjotr Ivanovitsj
רז גדעון	Gideon Raz
דרור רינה	Rina Dror
ברנד ענת	Anat Brandt
小川 千甕	Ogawa Sen'yo
多三郎	Ogawa Sen'yo
Platzers Johann Georg	I.G. Plazer
緒方 亮平	Ryohei Ogata
שבתאי כהן צפירה	Tsfira Shabtay Cohen
伊藤 慶之助	Ito Keinosuke
אסייג מוטי	Moti Assayag
瀧川 太郎	Taro
קארנו מריו	Carreno Mario
קיוה חיים	Kiewe Chaim
מנספלד אל	Alfred Mansfeld
Haksan Ch'anha	Kyongdo
McIntosh - Poris	MPA
SIVIM (Group)	Società Imprenditoriale Sviluppo Iniziative Immobiliari
Hicham Berrada	בראדה הישאם
Yehezkel Ezroni	עזרוני יחזקאל
峯 孝	Mine Takashi
Barnea Daniella	ברנע דניאלה
בן אריה יצחק	Ben Arieh Yitzhak
Holle William	הול ויליאם
Hole Will.	הול ויליאם
Bacchiacca Francesco	Verdi Francesco Ubertini dei
גבהארדט יוהאן אוגוסט	Johann August Gebhardt
Shorr Zvi	שור צבי
רובינשטין רוטמן גרטי	Gretty Rubenstein Rotman
Zhaoyang Yin	尹朝阳
Arouet François-Marie	Voltaire
בייראן לארד	Bayrěn
נתנאל זיוה	Ziva Netanel
V. A. Shreter	Schröter Viktor
Yamaha	ヤマハ株式会社
Steinitz Käthe	Nobody Annette
ויינמן בן-ציון	Weinman Ben-Zion
Manzù Pio	מנצו פיו
שניאור אבי	Schneor Avi
Suzuki Sujaku	Kotaro
Nobuko Sugai	菅井暢子
Pitt-Rivers Augustus	Fox Augustus Henry Lane
טומסי מרסלו	Marcello Tommasi
גליקמן ג'ודי אליס	Judy Ellis Glickman
原 勝四郎	Hara Katsushiro
Master of the Privilegios	Loert Juan
פיבן חנוך	Chanoch Piven
加藤 顕清	Kensei Kato
אונדק רומן	Ondák Roman
Lespinasse Gaby	Gabrielle Depeyre
平城繁雄	Shigeo Yamashita
Ram Bracha	ברכה רם
Mr. Clark	Clark (unidentified)
Tadao Andō	安藤忠雄
Trouve Freddy	טרוב פרדי
藤原佐理	Fujiwara Sari
טרלו רלי	Reli Tarlo
רנרט איציק (יצחק)	Rennert Itzik
高光 一也	Kazuya Takamitsu
Masajiro	坂口政治郎
阪口 一草	坂口政治郎
夏鉴清	Xia Jianqing
Valerii Kokurin	Kokurin V. G.
田中 佐一郎	Tanaka Saichiro
J. W.	Monogrammiert JW
Yasukuni	横地 康国
זלצברגר גבי	Salzberger Gabi
ממבוש איצ'ה	Mambush Itche
Il Dentone	Padovano Zuan da Milano
John White	Messrs. White & Flint
Murray Alcosser	אלקוצר מוריי
נרינסקי שלמה	Narinsky S.
Wimmer A.	וימר א'
זהבי נתן	Zahavi Natan
ויטלס מיכל	Vittels Michal
בירנבוים דבורה	Birnbaum Dvorah
ברוך אבנר	Baruch Avner
רוטנברג מיקה	Mika Rottenberg
Tonico Lemos Aud	למוס אוואד טוניקו
וסנטסוב יורי	Yuri Vasnetsov
וינברג תמירה	Tamira Weinberg
ماهر أسعد بكر	Baker Maher Asaad
Burn-Soo Song	송번수
בן-דוד צדוק	David Zadok Ben
Sami Avnissan	אבניסן סמי
שמי יחיאל	Yehiel Shemi
Caylar	Quella
大河内 夜江	Yako Okochi
בראון כריסטופר	Brown Christopher
זימל גיאורג	Zimmelʹ G.
M. de S. D. R.	Scudéri Madeleine de
Ment	Coelho Marcelo Vaz
小林 徳三郎	Tokusaburo Kobayashi
טור מירי	Toor Mirie
University of Illinois at Chicago. Gallery 400	Gallery Four Hundred
Dagan Geula	דגן גאולה
Bonnard Elève de Vander-Meulen	Robert Bonnart
אסכולת טימור	anonymous Timurid
הובר ארנסט	ernst huber
Kagyūkutsu	Toko Oide
Ajirō	Toko Oide
University of Aachen	R.W.T.H.
Home of the Society of the Cincinnati	Anderson House Museum
לוואנדובסקי טדאוש אנדרזיי	Tadeusz Andrezej Lewandowski
Capitole	Hôtel de Ville
Vysoká Škola Umeleckoprumyslová	Academy of Applied Arts
Mikhaēl VIII Palaiologos	Μιχαήλ Η΄ Παλαιολόγος
Michael VIII Palaeologus Emperor of the East	Μιχαήλ Η΄ Παλαιολόγος
Il Sojaro	Gervasio Gatti
Tetsu Katsuda	勝田 哲
Alkaim Michael	אלקיים מיכאל
Bochdani Jacob	Bugdon
בן יעקב יוחנן	Ben Yaakov Jochanan
伊川 鷹治	Takaji Ikawa
Poppi fiorentino	Francesco Morandini
בונפנטי ארטורו	Arturo Bonfanti
Bonfanti A.	בונפנטי ארטורו
梁樹年	Doucun
田辺 竹雲齋	Tanabe Chikuunsai
מוזס מרגרטה	Moses Margretta
לאוטר פאולוס	Paulus Lauters
中野 桂樹	Keiju Nakano
Rabenau Engel von der	Engel Karl Wilhelm Jakob
רף אורית	Orit Raff
טייכר יקותיאל רולנדה	Rolanda Teicher Yekutiel
Capeski Müller	Sch^D
Capescky Muller	Sch^D
סיקוריוס טמי	Siqueiros Tamayo
פרבר הרברט	Silvers Herbert
Master of the Retable of the Reyes Catolicos	La Cruz Diego de
Pope Sixtus IV	Della Rovere Francesco
板谷 波山	Kshichi
Motohide	Kanō Sōshū
Shinsetsu	Kanō Sōshū
杉浦 非水	Tsutomu
Lin Richard	Shaw Yu
Matsushima Ichiro	松島 一郎
Groper $15Vilyam	גראפער װיליאם
El Hispaleto	Garcia y Garcia Rafael
M.I.C.	Matsuyama International Design Corportion
Chiro Ferij	scolaro di Pietro da Cortona detto Ciro
רוזמן סטנלי	Stanley Roseman
Monogrammist A.E.	a. e. pinx.
今井俊満	Toshimitsu Imaï
Jean-Claude Naigeon	Néjau
רוזן קיי	רוזין גלינה
SGUF (Organization)	Schweizerische Gesellschaft für Ur- und Frühgeschichte
Kahn Max	קאהן מקס
Alfred Brunet-Debaines	ברונה-דבאיין אלפרד-לואי
Ashton Winifred	Clemence Dane
שטיין דרק	Derek Stein
Monocolo Il	Asaro Pietro d'
Pietro d'Asaro	Monocolo Il
千葉 あやの	Chiba Ayano
שלונסקי חנן	Shlonsky Chanan
Il Fantastico	Avanzarano Francesco
עשת מולה	Eshet Mula
Ou-po-weng	Songxuedaoren
高林 和作	Wasaku Takabayashi
טמיר משה	Moshe Tamir
Pseudo-Mostaert	Ysenbrant Adriaen
וייס צפורה	Ziporah Weiss
Peter Hencke	Monogrammist PH
堀江 鍬次郎	Kuwajirō Horie
辻 晉堂	Tsuji Shindo
Shindō Tsuji	辻 晉堂
Giorgio D'Alemagna	Il Tedesco
A-B-C Agency	Aktuelle Bilder Centrale
Izdatelʹstvo	Editions Dablus
Marmocchini Cortesi	Fratellini Giovanna
Young Chic	Murat Bernard Young
אדלר פרידריך	Adler Friedrich
Honorius III	Savelli Cencio
כהן גת רוית	Cohen Gat Ravit
Crespi Luigi	Spagnolo figlio
Tsugiyoshi Doi	土居 次義
וייט סי' בי'	Waite Charles B.
Tims Michael	Bronson A. A.
Yujiro	沼田 一雅
קנלבה ריימונד	Kanelba Raymond
ברכה מירי	Bracha Miri
שביב חנה	Shaviv Chana
Zhang Anzhi	張安治
Anzhi Zhang	張安治
Lev Shimon	לב שמעון
لويس التاسع، ملك فرنسا حكم ١٢٢٦-١٢٧٠ ‎	Louis XI re di Francia
山下 大五郎	Yamashita Taigoro
שפילר אלי	Spieler Eli
Чилійський музей доколумбового мистецтва	Chilean Museum of Pre-Columbian Art
tamayo rufino	טמאיו רופינו
Enrique Zvi Weisz	וייץ צבי אנריקה
Kubota Beisen	Jinkaitōda
Kampaku	Jinkaitōda
Anneken	Costa Pietro
walker	Macbeth R. W.
Benítez Sánchez José	Silent Walker
סיון זיוה	Sivan Ziva
מרקס גרהרד	Gerhard Marcks
פטמן ורה	Vera Pitman
Brownlow North	Winchester Bishop of
brand friedrich	F. A. Brandt
Maître à la Ratière	Monogrammist T N
Master With The Mouse Trap	Monogrammist T N
加藤 金一郎	Kato Kin'ichiro
J.J. Stoffe	Stoffe Jan Jacobsz van der
尾崎 元春	Ozaki Motoharu
Shinji Hori	堀 進二
Hout	Louis Dubois
Freytag-Loringhoaven Baroness Elsa von	Ploetz Else Hildegard
小松 茂美	Komatsu Shigemi
幸太郎	鈴木 貫爾
Shaun Peterson	Qwalsius
הרמתי עתידה	Atida Haramati
王右军	Ō Gishi
Kryger Dan	קריגר דן
K. Ing	Kanjanavanit Smanarat
Grimthorpe of Grimthorpe Baron	Beckett of Denison Edmund
Spyros Vassiliou	Barmpas-Spyros
וייט ג'ורג'	George White
תומא חיה	Touma Khaya
Bacler D'Albe Louis Albert Guillain De	M. Baclère d'Albe
אשר מוריס קורנליס	M. C. Escher
Stoffade	Kampen Joos van
אורינג גין	Ohring Jean
Gregory XIV Pope	Sfondrati Nicolaus
Gregor XIV Papst	Sfondrati Nicolaus
מדלי אן	Medalie Ann
ברגר דניאל	Daniel Berger
Taringa-kuri	Kaeaea
Brand Shmuel	ברנד שמואל
Aitken William Maxwell Sir	the Rt Hon Lord Beaverbrook
הלפרן אלחנן	Elhanan Halpern
Senga Hata	Kanō Heishirō
ho Chiujae	myŏng Sudae
Double Shields	Pepion Victor
Krajské muzeum východních Čech v Hradec Králové	Museum Reginaehradecensis
Carolus (1929)	Diederich Carolus
Sperandio Johann	Coleto Giovanni Battista
שמואלי ישראל	Shmueli Yisrael
菊池 隆志	Kikuchi Takashi
Yūsai	Rokusaburō
il Smicca	Giannicola Di Paolo
Manni Giannicola di Paolo	il Smicca
Cutapius	John L. Clarke
三田 康	Yasushi Santa／Sanda
לוריא אסתר	Shapiro Esther Lurie
g. berger	Berger Jacques (1754-1822)
Dady A.R.	William St Alban Rae Dady
Леонилла Ивановна Барятинская	Sayn-Wittgenstein-Berleburg Léonille Bariatinski
רוג'ר סוזן	Suzanne Roger
שניידר אורית	Schnaider Orit
Shavi Orly	שבי אורלי
川崎 小虎	Kawasaki Shoko
Slater Phyllis	Phyllis Murphy
Ovadia Alkara	אלקרה עובדיה
סקרבנסקי ויקטור	Skrebneski Victor
Antischmitz	Hansen Hans
大島 辰雄	Oshima Tatsuo
Hsiao-hsiao	Wen Tong
Hu-chun	Hsiao-hsiao
אנדריה ז'קלין	Andrya Jacqueline
Caroline Queen consort of George IV King of Great Britain	Princess of Wales
פנחסי משה	Moshe Pinhassi
פנסון בוריס	Boris Penson
פירחי ליננברג ורד	Vered Pirhi Linenberg
Master of the Saint Gregory	Collen Johan van
Le vieux Rysbrack	Rijsbregts
飯島 敏三	Toshizo Iijima
Nowy Gmach	New Building
גולבהר פארידה	Golbahar Faride
Gyokujundō	Seishūken
International Association of Art Critics. Greek Section	AICA Hellas
Avissar Simon	אבישר שמעון
Vincenzo Agnetti	אנייטי וינצ׳נצו
סולומון רוזלינד	Solomon Rosalind
גלוטמן יהושע (שוקה)	Glọtman Shuḳa
קצב עוזי	Uzi Katzav
Grant Emily	St. Auby Tamás
Taub Tamas	Grant Emily
וידר שניידר שרה	Sara Wieder Schneider
Spinoza Baruch	שפינאזא ברוך
David Ricard	Rykars
Oakerhater David Pendleton	Making Medicine
Сергеевич Петров-Водкин Кузьма	Kuzma Sergeevich Petrov-Vodkin
Scheffer Tamir	שפר תמיר
Szolnoki Galéria	Art Gallery
Gekko	Rojinsai
Vermejo	Cárdenas Bartolomé de
藤島 茂	Fujishima Shigeru
Maria Zeiller	Uchatius Maria von
Lea Sheves	שבס לאה
Verspronck Jan Cornelisz.	G. Sprong
Struck Hermann	שטרוק הרמן
J. Baptiste Dossi	Battista di Niccolì di Luteri
Baron Harry	ברון הרי
Sawa Hiraki	さわ ひらき
陆俨少	Lu Tongzu
לבנת צביקה	Livnat Zvika
Arie Kotler	קוטלר אריה
Follett Mrs. J. R.	Cathleen Sabine Mann
יעקב ברנר חיה	Jakob Brenner Haya
יפה ניצה	Nitza Yaffe
רייכנבך סילביה	Reichenbach Sylvia
Wellens Jan	Cock Jan De
Weiler Max	Vittorio Mazzucconi
清聖祖	Qing Kangxi Emperor of China
Bharata Itihasa Samshodhaka Mandala	Centre for Indian Cultural Studies
מטוסביץ מיכאל	Matusevitch Michael
Nicolas Bernard Lepeié	M. Lepicié
TSA Architects	Thurlow Small Atelier
Akiva Boker	בוקר עקיבא
Rijck	Ryck Pieter Cornelisz. van
Comte de Lautréamont	Ducasse Isidore
Jarmund/Vignaes AS Architects	JVA (Firm)
山形浩生	ヤマガタヒロ
הנלה פריץ	Fritz Henle
佐和 隆研	Takaaki
טל-קוט פייר	Coat Pierre Tal
Tal-Coat Pierre Jacob	טל-קוט פייר
Noble	Wichita Bill
רבינוביץ גרגור	Rabinovitch Gregor
Edith Kane Baker	Mrs. George F. Baker Jr.
Yang Hsing-wu	Linsulaoren
江本 義理	Yoshimichi Emoto
ביירדן רומר	Bearden Romy
Société française des architectes	S.F.A.
西村 房蔵	Nishimura Fusazo
שטיינוביץ זמי	Steynovitz Zamy
בר יעקב אברהם	Abraham Bar Jacob
Juzan	Kazuhisa
Hambei	Kazuhisa
Barrett Mrs. W. K. T.	Sherlock A. Marjorie
Sherlock Marjorie	Barrett Mrs. W. K. T.
Mulinaretto	piane giov. maria dalle
Österreichische Galerie (1995- )	Belvedere Vienna
wohl Arbeit der Trogerwerkstatt	Troger Simon
Hergé (ps.)	Georges Remy
中島 清之	Kiyoshi
安藤 更生	Kosei Ando
Joste (1438)	Meister Joest
Cremasca	Perola Giovanni Battista
מאהו קורנליס	C.O. MAHV
